слово	частота		347400	
	28	
#	375	
$	1178	
%	4122	
&	6778	
*	218	
+	3304	
/	27901	
<	26950	
=	35075	
>	26785	
@	281	
\	14575	
^	3	
_	21258	
a	80095	
b	18199	
c	57113	
d	40774	
e	99688	
f	23063	
g	21546	
h	21237	
i	72309	
j	3136	
k	5030	
l	42763	
m	23694	
n	74522	
o	64162	
p	36258	
q	977	
r	65018	
s	75310	
t	92434	
u	38783	
v	21727	
w	10852	
x	6516	
y	10313	
z	1226	
{	9658	
}	9658	
°	56	
ʖ	28	
͜	28	
͡	56	
а	10776	
б	1869	
в	5863	
г	2159	
д	4535	
е	10677	
ж	1099	
з	1667	
и	11369	
й	1407	
к	5447	
л	5056	
м	3816	
н	8243	
о	14073	
п	4645	
р	6966	
с	7274	
т	8545	
у	3035	
ф	623	
х	1076	
ц	747	
ч	1621	
ш	846	
щ	305	
ъ	12	
ы	1877	
ь	2571	
э	408	
ю	597	
я	2556	
ё	19	
–	198	
—	49	
―	6	
“	3	
”	3	
…	3	
€	2	
₽	101	
№	29	
╋	1	
✕	1	
❏	1	
❐	1	
